userId,first_name,last_name,address,city,state,post,phone,email,username,password,category1,category2,category3,category4,category5,category6,category7,category8
1,Rebbecca,Didio,171 E 24th St,Leith,TA,7315,03-8174-9123,rebbecca.didio@didio.com.au,Rebbecca,Rebbecca,0.835613014,0.540583914,0.298974372,0.629434424,0.228129799,0.685476376,0.059186186,0.101128837
2,Stevie,Hallo,22222 Acoma St,Proston,QL,4613,07-9997-3366,stevie.hallo@hotmail.com,Stevie,Stevie,0.293371544,0.652223935,0.338224053,0.946851671,0.834835511,0.982642572,0.818883561,0.051818926
3,Mariko,Stayer,534 Schoenborn St #51,Hamel,WA,6215,08-5558-9019,mariko_stayer@hotmail.com,Mariko,Mariko,0.116593678,0.714744699,0.455859283,0.97638604,0.50486029,0.264091879,0.772897451,0.194294461
4,Gerardo,Woodka,69206 Jackson Ave,Talmalmo,NS,2640,02-6044-4682,gerardo_woodka@hotmail.com,Gerardo,Gerardo,0.720168655,0.935255112,0.130903319,0.830653366,0.884093401,0.411302885,0.206194382,0.996972469
5,Mayra,Bena,808 Glen Cove Ave,Lane Cove,NS,1595,02-1455-6085,mayra.bena@gmail.com,Mayra,Mayra,0.066662084,0.454696365,0.18770952,0.508970757,0.723198669,0.596656328,0.193210607,0.052107902
6,Idella,Scotland,373 Lafayette St,Cartmeticup,WA,6316,08-7868-1355,idella@hotmail.com,Idella,Idella,0.329396355,0.797458654,0.825600915,0.502832329,0.848700087,0.97939282,0.087533424,0.015958815
7,Sherill,Klar,87 Sylvan Ave,Nyamup,WA,6258,08-6522-8931,sklar@hotmail.com,Sherill,Sherill,0.205949196,0.720673093,0.215171836,0.190219848,0.631950772,0.130521863,0.439861555,0.020755837
8,Ena,Desjardiws,60562 Ky Rt 321,Bendick Murrell,NS,2803,02-5226-9402,ena_desjardiws@desjardiws.com.au,Ena,Ena,0.685754978,0.41208501,0.178002353,0.94910619,0.138749533,0.043381958,0.206202428,0.068724782
9,Vince,Siena,70 S 18th Pl,Purrawunda,QL,4356,07-3184-9989,vince_siena@yahoo.com,Vince,Vince,0.025730548,0.237491656,0.761922616,0.709836145,0.725826237,0.038749242,0.371498041,0.523939722
10,Theron,Jarding,8839 Ventura Blvd,Blanchetown,SA,5357,08-6890-4661,tjarding@hotmail.com,Theron,Theron,0.708595361,0.72980927,0.735984112,0.039272386,0.643237654,0.099576316,0.788215669,0.893322563
11,Amira,Chudej,3684 N Wacker Dr,Rockside,QL,4343,07-8135-3271,amira.chudej@chudej.net.au,Amira,Amira,0.29957563,0.975594699,0.553925236,0.534677406,0.568454897,0.162379103,0.05437003,0.682842168
12,Marica,Tarbor,68828 S 32nd St #6,Rosegarland,TA,7140,03-1174-6817,marica.tarbor@hotmail.com,Marica,Marica,0.863224474,0.821449093,0.249153771,0.950388618,0.336823031,0.605137815,0.125364204,0.387523916
13,Shawna,Albrough,43157 Cypress St,Ringwood,QL,4343,07-7977-6039,shawna.albrough@albrough.com.au,Shawna,Shawna,0.845942764,0.710697526,0.396489686,0.293300033,0.364401414,0.59762123,0.648315001,0.7295416
14,Paulina,Maker,6 S Hanover Ave,Maylands,WA,6931,08-8344-8929,paulina_maker@maker.net.au,Paulina,Paulina,0.7800643,0.280457514,0.850193607,0.124501242,0.657361651,0.7479552,0.677979414,0.791095821
15,Rose,Jebb,27916 Tarrytown Rd,Wooloowin,QL,4030,07-4941-9471,rose@jebb.net.au,Rose,Rose,0.509755812,0.679027788,0.99850053,0.408735279,0.978749554,0.329205318,0.206659856,0.735814456
16,Reita,Tabar,79620 Timber Dr,Arthurville,NS,2820,02-3518-7078,rtabar@hotmail.com,Reita,Reita,0.092424877,0.591981164,0.185730144,0.649102963,0.950846222,0.438266844,0.483764344,0.083932851
17,Maybelle,Bewley,387 Airway Cir #62,Mapleton,QL,4560,07-9387-7293,mbewley@yahoo.com,Maybelle,Maybelle,0.798659471,0.539270563,0.274086297,0.579436797,0.025573508,0.880231638,0.181582304,0.071173377
18,Camellia,Pylant,570 W Pine St,Tuggerawong,NS,2259,02-5171-4345,camellia_pylant@gmail.com,Camellia,Camellia,0.207241283,0.377104601,0.103107977,0.693883332,0.673341229,0.047395272,0.770439209,0.014932582
19,Roy,Nybo,823 Fishers Ln,Red Hill,AC,2603,02-5311-7778,rnybo@nybo.net.au,Roy,Roy,0.73850113,0.122734023,0.591426199,0.81595123,0.864882419,0.619985208,0.727504712,0.213770103
20,Albert,Sonier,4 Brookcrest Dr #7786,Inverlaw,QL,4610,07-9354-2612,albert.sonier@gmail.com,Albert,Albert,0.353977342,0.91602957,0.201718864,0.858056258,0.521860475,0.407064801,0.5000846,0.002177043
21,Hayley,Taghon,72 Wyoming Ave,Eugowra,NS,2806,02-1638-4380,htaghon@taghon.net.au,Hayley,Hayley,0.054862208,0.662237984,0.813854327,0.826816553,0.578964472,0.885710462,0.090284876,0.669431291
22,Norah,Daleo,754 Sammis Ave,Kotara Fair,NS,2289,02-5322-6127,ndaleo@daleo.net.au,Norah,Norah,0.296780431,0.924676619,0.95769527,0.803181412,0.211332755,0.397900927,0.694751874,0.734420767
23,Rosina,Sidhu,660 N Green St,Burpengary,QL,4505,07-6460-4488,rosina_sidhu@gmail.com,Rosina,Rosina,0.630944721,0.414719113,0.309736497,0.983964877,0.785606172,0.225784365,0.794079377,0.806671004
24,Royal,Costeira,970 Waterloo Rd,Ellis Beach,QL,4879,07-5338-6357,royal_costeira@costeira.com.au,Royal,Royal,0.575906401,0.215548201,0.291415937,0.65767479,0.606573167,0.677939762,0.136311584,0.033627801
25,Barrie,Nicley,4129 Abbott Dr,Fish Creek,VI,3959,03-6443-2786,bnicley@nicley.com.au,Barrie,Barrie,0.013755986,0.157073686,0.646953321,0.494970129,0.152411983,0.865123619,0.460465155,0.377605402
